Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2023,146,3.45,16.84,18.65,380.54,65.19,5.52,1.78,94.55,2.29
2023,147,2.99,16.54,19.81,369.82,62.44,4.41,1.92,94.6,2.43
2023,148,2.13,14.99,17.64,346.19,59.12,3.8,1.1,94.51,2.4
2023,149,02.08,14.17,18.25,336.91,52.94,3.59,01.07,94.41,03.08
2023,150,2.84,15.03,20.37,348.13,53.81,3.87,1.56,94.53,3.11
2023,151,2.4,15.48,18.48,354.1,59.56,4.25,1.46,94.66,3.3
2023,152,02.09,14.1,19.79,359.82,54.0,3.47,01.09,94.61,3.45
2023,153,2.41,14.83,18.92,364.3,55.19,3.9,01.08,94.45,2.99
2023,154,2.92,15.62,19.63,364.48,58.0,4.79,1.45,94.5,2.13
2023,155,2.65,14.69,19.02,336.33,57.56,04.03,1.48,94.67,02.08
